Color,United_States,China,Germany,France,Spain,Mexico,Global_Considerations
Red,Energy_Passion,Good_Fortune_Luck,Warning_Stop,Elegance_Luxury,Passion_Energy,Celebration_Life,Power_Attention_Action
Blue,Trust_Reliability,Calm_Technology,Trust_Efficiency,Freedom_Peace,Calm_Trust,Sadness_Tranquility,Universal_Trust_Corporate
Green,Nature_Money,Health_Growth,Environment_Safety,Nature_Luck,Nature_Hope,Hope_Nature,Environmental_Growth_Harmony
Yellow,Happiness_Caution,Imperial_Power,Optimism_Caution,Joy_Betrayal,Joy_Energy,Sun_Happiness,Optimism_Attention_Caution
White,Purity_Clean,Death_Mourning,Purity_Clean,Purity_Peace,Purity_Peace,Purity_Wedding,Cleanliness_Minimalism_Medical
Black,Sophistication_Elegance,Evil_Death,Elegance_Authority,Elegance_Sophistication,Elegance_Death,Death_Mourning,Premium_Sophistication_Authority
Orange,Energy_Enthusiasm,Happiness_Energy,Creativity_Energy,Creativity_Energy,Energy_Enthusiasm,Joy_Celebration,Energy_Creativity_Youthfulness
Purple,Luxury_Royalty,Nobility_Wealth,Luxury_Creativity,Royalty_Luxury,Luxury_Royalty,Royalty_Wealth,Premium_Luxury_Spirituality
Pink,Femininity_Romance,Romance_Health,Femininity_Softness,Romance_Femininity,Romance_Sweetness,Femininity_Love,Femininity_Tenderness_Youth
Gold,Success_Wealth,Wealth_Prosperity,Quality_Success,Luxury_Success,Wealth_Success,Wealth_Celebration,Premium_Success_Achievement
